City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temp,Wind Speed
361,kudahuvadhoo,93,MV,1580519172,71,2.67,72.89,81.75,10.85
362,isla vista,1,US,1580518906,37,34.41,-119.86,69.8,6.93
363,zhigansk,99,RU,1580519173,95,66.77,123.37,-22.16,2.15
364,rincon,90,US,1580519173,93,32.3,-81.24,44.01,3.36
365,ketchikan,90,US,1580519030,93,55.34,-131.65,34.84,10.29
366,avarua,100,CK,1580519173,78,-21.21,-159.78,82.4,5.82
367,porbandar,0,IN,1580519173,48,21.64,69.61,67.75,15.1
368,les cayes,0,HT,1580519174,76,18.2,-73.75,80.37,10.18
369,kitimat,90,CA,1580519174,99,54.05,-128.65,32.59,13.87
370,abu dhabi,0,AE,1580519174,87,24.47,54.37,58.15,4.7
371,karratha,0,AU,1580519174,57,-20.74,116.85,81.64,18.16
372,poum,37,NC,1580519174,78,-20.23,164.02,80.8,19.95
373,moroni,100,KM,1580519175,73,-11.7,43.26,81.9,4.21
374,marfino,75,RU,1580519175,100,55.7,37.38,30.2,2.24
375,chapais,90,CA,1580519175,84,49.78,-74.85,6.8,5.03
376,nueva loja,36,EC,1580519175,76,0.08,-76.88,77.07,2.13
377,carmen,40,MX,1580519175,83,18.63,-91.83,78.8,6.6
378,otradnoye,90,RU,1580519176,85,59.78,30.82,22.66,6.71
379,bowen,75,AU,1580519176,70,-20.02,148.23,86.9,10.29
380,ixtapa,90,MX,1580519176,65,20.7,-105.2,76.42,9.17
381,briceni,100,MD,1580519176,88,48.36,27.7,41.27,13.35
382,dalvik,90,IS,1580519176,97,65.97,-18.53,32.0,3.36
383,kulhudhuffushi,56,MV,1580519177,78,6.62,73.07,80.44,12.53
384,port keats,100,AU,1580519177,73,-14.25,129.55,85.96,11.01
385,kyaikkami,0,MM,1580519177,61,16.08,97.57,74.28,8.86
386,batemans bay,28,AU,1580519177,43,-35.72,150.18,91.99,3.0
387,bolshaya rechka,96,RU,1580519177,75,51.95,104.74,-16.6,4.47
388,nouadhibou,0,MR,1580519177,37,20.93,-17.03,66.2,13.87
389,mujiayingzi,0,CN,1580519177,60,42.12,118.78,11.46,7.18
390,verkhnyaya toyma,100,RU,1580519178,97,62.23,45.0,-0.99,2.71
391,roma,90,US,1580519083,74,43.21,-75.46,30.63,3.36
392,mount gambier,100,AU,1580519178,93,-37.83,140.77,60.8,10.29
393,eqbaliyeh,50,IR,1580519178,33,35.3,51.54,38.82,6.93
394,sungaipenuh,100,ID,1580519178,98,-2.08,101.38,63.52,3.02
395,los llanos de aridane,49,ES,1580519178,37,28.66,-17.92,66.58,1.12
396,san quintin,0,MX,1580519179,36,30.48,-115.95,66.99,8.66
397,pacific grove,1,US,1580519179,55,36.62,-121.92,63.82,10.29
398,balkanabat,100,TM,1580519179,42,39.51,54.37,46.4,2.1
399,ancud,75,CL,1580519179,82,-41.87,-73.82,62.6,12.75
400,klaksvik,90,FO,1580519179,80,62.23,-6.59,33.8,3.36
401,fort nelson,75,CA,1580519179,85,58.81,-122.7,10.4,2.84
402,pangkalanbuun,99,ID,1580519179,90,-2.68,111.62,75.36,3.58
403,shumskiy,100,RU,1580519179,90,54.83,99.13,-5.46,2.04
404,hualmay,53,PE,1580519180,73,-11.1,-77.61,72.84,6.31
405,vila velha,97,BR,1580519180,83,-20.33,-40.29,80.28,13.87
406,killybegs,96,IE,1580519180,86,54.63,-8.45,46.99,11.01
407,pochutla,5,MX,1580519180,58,15.74,-96.47,84.2,6.93
408,lubao,75,PH,1580519180,73,14.92,120.55,75.16,9.17
409,businga,46,CD,1580519180,57,3.33,20.88,70.92,1.41
410,birmitrapur,0,IN,1580519180,43,22.4,84.77,51.04,3.51
411,etla,40,MX,1580519181,22,17.06,-96.79,80.6,12.75
412,kaeo,0,NZ,1580519181,54,-35.1,173.78,84.6,7.0
413,richards bay,10,ZA,1580519181,72,-28.78,32.04,77.0,24.94
414,victoria,3,HK,1580519083,59,22.29,114.16,60.31,12.75
415,arlit,0,NE,1580519181,15,18.74,7.39,67.33,6.51
416,bolotnoye,95,RU,1580519181,95,55.67,84.4,-7.02,5.46
417,sabha,0,LY,1580519182,29,27.04,14.43,59.88,7.78
418,saint george,1,US,1580519142,27,37.1,-113.58,52.65,3.4
419,nioro,0,GM,1580519182,10,13.35,-15.75,80.24,10.31
420,plettenberg bay,82,ZA,1580519182,90,-34.05,23.37,66.72,2.19
421,saint-joseph,75,RE,1580519183,74,-21.37,55.62,74.3,12.75
422,vrangel,0,RU,1580519183,62,42.73,133.08,26.29,5.77
423,rundu,100,NA,1580519183,43,-17.93,19.77,71.6,2.24
424,molepolole,0,BW,1580519183,35,-24.41,25.5,70.86,3.78
425,avera,90,US,1580519183,100,33.19,-82.53,40.8,5.82
426,tefe,75,BR,1580519184,95,-3.35,-64.71,76.46,4.38
427,santa isabel do rio negro,53,BR,1580519184,81,-0.41,-65.02,79.11,1.52
428,sokoni,20,TZ,1580519184,94,-6.43,39.55,75.2,1.92
429,basco,89,PH,1580519184,64,20.45,121.97,67.01,18.95
430,ishinomaki,40,JP,1580519184,48,38.42,141.3,42.8,1.12
431,ampanihy,3,MG,1580519184,87,-24.7,44.75,70.38,10.04
432,touros,40,BR,1580519184,83,-5.2,-35.46,80.6,3.36
433,samarai,76,PG,1580519184,57,-10.62,150.67,88.95,3.91
434,boffa,74,GN,1580519185,81,10.17,-14.03,72.3,1.34
435,ust-maya,100,RU,1580519185,96,60.42,134.53,-12.03,2.84
436,yulara,90,AU,1580519185,70,-25.24,130.99,84.2,10.29
437,tsivilsk,90,RU,1580519185,96,55.86,47.47,32.0,11.18
438,fernie,90,CA,1580519185,100,49.5,-115.07,37.4,3.36
439,kochubey,100,RU,1580519185,93,44.39,46.58,37.2,8.5
440,seymour,90,US,1580519185,93,38.96,-85.89,37.33,3.36
441,aswan,0,EG,1580519186,51,24.09,32.91,51.57,11.07
442,feijo,100,BR,1580519186,95,-8.16,-70.35,75.58,2.13
443,batesville,90,US,1580519186,75,35.77,-91.64,44.17,1.3
444,warrington,75,GB,1580519075,87,53.39,-2.58,49.95,6.93
445,port hedland,20,AU,1580519186,70,-20.32,118.57,86.0,18.34
446,ternate,76,ID,1580519186,75,0.8,127.4,80.35,2.39
447,pozo colorado,38,PY,1580519186,59,-23.49,-58.8,78.67,4.09
448,kismayo,100,SO,1580519187,81,-0.36,42.55,80.08,14.61
449,sivaki,100,RU,1580519187,97,52.63,126.75,-3.14,1.61
450,talcahuano,0,CL,1580519187,82,-36.72,-73.12,64.4,14.99
451,taoudenni,0,ML,1580519187,16,22.68,-3.98,61.97,8.05
452,el alto,12,PE,1580519187,74,-4.27,-81.21,74.23,9.17
453,ovsyanka,94,RU,1580519187,82,55.96,92.55,-18.4,3.89
454,gold coast,9,AU,1580519188,61,-28.0,153.43,88.16,5.01
455,amiens,90,FR,1580519045,100,49.9,2.3,52.25,13.87
456,cap malheureux,40,MU,1580519188,83,-19.98,57.61,76.51,6.93
457,maltahohe,94,NA,1580519188,25,-24.83,16.98,77.02,18.25
458,rzhaksa,100,RU,1580519188,97,52.13,42.03,27.64,5.79
459,scarborough,83,GB,1580519189,81,54.28,-0.4,50.11,17.22
460,jardim,85,BR,1580519189,91,-21.48,-56.14,74.62,1.59
461,naxos,2,GR,1580519189,62,37.11,25.38,54.7,9.17
462,greenwood,90,US,1580519189,100,34.17,-82.12,38.26,6.93
463,imeni poliny osipenko,24,RU,1580519189,95,52.42,136.49,-7.58,2.42
464,kavaratti,17,IN,1580519115,70,10.57,72.64,78.94,9.26
465,ostersund,100,SE,1580519190,92,63.18,14.64,30.63,14.99
466,tashla,100,RU,1580519190,96,51.77,52.74,23.04,8.12
467,kutum,50,SD,1580519190,30,14.2,24.67,45.27,2.59
468,beringovskiy,100,RU,1580519191,96,63.05,179.32,-15.75,20.02
469,luganville,75,VU,1580519191,70,-15.53,167.17,87.8,9.17
470,pfarrkirchen,82,DE,1580519191,88,48.43,12.94,47.19,9.33
471,biharamulo,93,TZ,1580519191,93,-2.63,31.31,64.6,3.76
472,paamiut,34,GL,1580519191,60,61.99,-49.67,12.42,7.0
473,alice springs,75,AU,1580519124,74,-23.7,133.88,82.4,14.99
474,tommot,100,RU,1580519191,98,58.96,126.29,-3.01,2.98
475,tiarei,40,PF,1580519191,88,-17.53,-149.33,77.0,26.4
476,hami,0,CN,1580519192,80,42.8,93.45,7.65,3.65
477,hovd,0,MN,1580519192,77,48.01,91.64,-7.91,1.34
478,talavera,75,PH,1580519192,73,15.62,120.93,71.6,9.17
479,terrak,100,NO,1580519192,65,65.09,12.37,38.48,23.04
480,muravlenko,36,RU,1580519192,98,63.79,74.52,-22.16,12.86
481,kloulklubed,75,PW,1580519160,70,7.04,134.26,84.2,8.05
482,manaure,13,CO,1580519192,83,11.78,-72.44,82.4,9.17
483,marck,100,FR,1580519192,93,50.95,1.94,52.39,14.99
484,voh,0,NC,1580519193,73,-20.97,164.7,80.85,10.29
485,puerto escondido,16,MX,1580519193,73,15.85,-97.07,73.38,2.66
486,khandyga,85,RU,1580519193,98,62.67,135.6,-21.71,2.46
487,burns lake,100,CA,1580519193,97,54.23,-125.75,27.36,5.21
488,khilok,0,RU,1580519193,95,51.37,110.47,-16.89,2.82
489,nador,67,MA,1580519025,34,35.17,-2.93,58.28,10.29
490,palmares do sul,14,BR,1580519194,93,-30.26,-50.51,71.08,7.52
491,makokou,13,GA,1580519194,85,0.57,12.86,72.9,3.44
